,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",191.0,0.0228
1,9.0,"movie, celebrity, tv, watch, favorite, trailer, film, actor, celebritie, title",32.0,0.0038
2,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",26.0,0.0031
3,24.0,"photo, flickr, image, upload, describe, launch, interestingness, interesting, exploration, paragraph",12.0,0.0014
4,0.0,"live, mapping, show, screen, webcam, future, race, big, cam, net",12.0,0.0014
5,9.0,"movie, celebrity, tv, watch, favorite, trailer, film, actor, celebritie, title",41.0,0.0049
6,155.0,"information, include, provide, consumer, detail, market, data, leader, gain, function",21.0,0.0025
7,64.0,"location, mapping, geographic, place, geography, permanent, physical, earth, traverse, explore",14.0,0.0017
8,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",52.0,0.0062
9,154.0,"music, lyric, song, play, playlist, artist, listen, spotify, rhapsody, rdio",143.0,0.0171
10,87.0,"view, show, mapping, satellite, interesting, fashion, unemployment, optional, switch, webmaster",53.0,0.0063
11,156.0,"widget, gadget, display, slideshow, desktop, homepage, embed, presentation, imageloop, google_gadget",76.0,0.0091
12,70.0,"stock, bitcoin, currency, price, market, financial, trade, order, exchange, sell",56.0,0.0067
13,121.0,"display, google_map, major, flow, regional, current, region, collect, globally, effective",16.0,0.0019
14,8.0,"messaging, chat, client, message, support, bot, room, presence, buddy, real_time",25.0,0.003
15,38.0,"station, flight, travel, information, airport, status, delay, airline, international, travel_air",48.0,0.0057
16,9.0,"movie, celebrity, tv, watch, favorite, trailer, film, actor, celebritie, title",90.0,0.0108
17,23.0,"language, translation, learn, translate, bing, speak, original, detect, translator, native",69.0,0.0082
18,111.0,"mapping, plot, google_map, position, path, earth, satellite, title, social_networking, pie",38.0,0.0045
19,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",41.0,0.0049
20,125.0,"reference, science, global, browse, tree, museum, category, present, gallery, earth",15.0,0.0018
21,17.0,"visualization, chart, graph, visualize, interactive, represent, timeline, visually, bubble, scatter",19.0,0.0023
22,173.0,"local, localization, mapping, neighborhood, area, street, get_direction, quality, neighbor, info",128.0,0.0153
23,197.0,"work, safe, religion, adult, quick, traditional, copyright, put, registry, creative",64.0,0.0076
24,78.0,"tag, search, browse, classification, tagging, set, space, lets_user, description, hash",72.0,0.0086
25,126.0,"share, favorite, friend, social, save, facebook_friend, couple, facebook, online, brand",97.0,0.0116
26,68.0,"free, open, download, database, license, http, build, charge, register, wiki",20.0,0.0024
27,38.0,"station, flight, travel, information, airport, status, delay, airline, international, travel_air",25.0,0.003
28,25.0,"news, article, source, late, news_services, read, topic, aggregation, news_service, aggregator",100.0,0.012
29,55.0,"trend, top, popular, move, daily, hot, late, news_storie, mash, day",12.0,0.0014
30,52.0,"email, contact, send, mail, gmail, calendar, outlook, attachment, mailchimp, address",41.0,0.0049
31,111.0,"mapping, plot, google_map, position, path, earth, satellite, title, social_networking, pie",46.0,0.0055
32,53.0,"review, rating, rank, popularity, ranking, rate, distribution, user_generated, power, recommendation",28.0,0.0033
33,9.0,"movie, celebrity, tv, watch, favorite, trailer, film, actor, celebritie, title",57.0,0.0068
34,14.0,"show, map, recent, happen, mash, specific, indian, portion, visualization, apply",27.0,0.0032
35,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",18.0,0.0022
36,69.0,"payment, money, account, financial, transaction, pay, digital, manage, invoice, order",11.0,0.0013
37,103.0,"twitter, social, facebook, realtime, humor, blogge, apis, chatter, latest, interface",104.0,0.0124
38,109.0,"guide, travel, mapping, tour, virtual, visit, activity, thousand, boat, operator",51.0,0.0061
39,161.0,"statistic, datum, information, demographic, reference, stat, detailed, population, average, county",19.0,0.0023
40,38.0,"station, flight, travel, information, airport, status, delay, airline, international, travel_air",58.0,0.0069
41,8.0,"messaging, chat, client, message, support, bot, room, presence, buddy, real_time",43.0,0.0051
42,17.0,"visualization, chart, graph, visualize, interactive, represent, timeline, visually, bubble, scatter",103.0,0.0123
43,94.0,"city, mapping, mashup, town, scene, find, test, tribe, awareness, interact",44.0,0.0053
44,18.0,"map, mapping, marker, layer, draw, popup, drawing, zoom, polygon, positioning",26.0,0.0031
45,163.0,"traffic, report, base, highlight, transportation, earthquake, issue, incident, road, highway",45.0,0.0054
46,85.0,"listing, search, craigslist, category, comprehensive, property, narrow, collection, provide, flag",73.0,0.0087
47,25.0,"news, article, source, late, news_services, read, topic, aggregation, news_service, aggregator",29.0,0.0035
48,93.0,"number, website, large, directory, api, base, flash, addition, category, mix",135.0,0.0161
49,15.0,"humor, random, quote, social, character, entertainment, cool, wall, sound, funny",18.0,0.0022
